Sucursal,Ciudad,Matricula,Nombre Vendedor,Código Producto,Precio Unitario -qtd,Fecha de Venta,Estado Venta
Tienda 01,Bogotá,123456222,Maria Garcia,10005,3000-1,10/06/2024,Finalizada
Tienda 01,Bogotá,123456222,Maria Garcia,10011,80-2,14/08/2024,Finalizada
Tienda 01,Bogotá,123456222,Maria Garcia,10004,2400-1,13/09/2023,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10015,380-3,01/12/2024,Finalizada
Tienda 01,Bogotá,123456111,José Martinez,10017,2800-1,17/01/2023,Finalizada
Tienda 01,Bogotá,123456111,José Martinez,10011,80-1,28/03/2024,Finalizada
Tienda 01,Bogotá,123456222,Maria Garcia,10018,310-2,11/08/2024,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10018,310-3,06/03/2023,Finalizada
Tienda 01,Bogotá,123456111,José Martinez,10007,200-2,26/08/2023,Finalizada
Tienda 01,Bogotá,123456222,Maria Garcia,10020,600-3,16/11/2023,Finalizada
Tienda 01,Bogotá,123456111,José Martinez,10001,1500-3,24/03/2023,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10008,240-2,10/08/2024,Finalizada
Tienda 01,Bogotá,123456222,Maria Garcia,10018,310-1,17/04/2023,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10007,200-1,18/12/2023,Finalizada
Tienda 01,Bogotá,123456111,José Martinez,10004,2400-3,22/11/2024,Finalizada
Tienda 01,Bogotá,123456222,Maria Garcia,10006,300-1,05/09/2023,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10015,380-3,27/09/2024,Finalizada
Tienda 01,Bogotá,123456111,José Martinez,10015,380-3,13/09/2023,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10015,380-1,29/10/2024,Finalizada
Tienda 01,Bogotá,123456222,Maria Garcia,10011,80-3,19/06/2024,Finalizada
Tienda 01,Bogotá,123456111,José Martinez,10010,250-3,05/02/2024,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10017,2800-2,09/11/2023,Finalizada
Tienda 01,Bogotá,123456222,Maria Garcia,10001,1500-3,05/05/2023,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10011,80-3,22/02/2023,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10011,80-2,08/11/2024,Finalizada
Tienda 01,Bogotá,123456111,José Martinez,10008,240-2,13/12/2024,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10015,380-2,28/09/2023,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10015,380-3,12/01/2024,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10004,2400-3,28/02/2023,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10003,3500-2,12/02/2023,Finalizada
Tienda 01,Bogotá,123456222,Maria Garcia,10011,80-1,04/02/2023,Finalizada
Tienda 01,Bogotá,123456111,José Martinez,10006,300-2,13/02/2024,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10001,1500-2,27/11/2023,Finalizada
Tienda 01,Bogotá,123456111,José Martinez,10003,3500-1,26/10/2024,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10016,1500-1,03/02/2024,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10009,70-2,18/10/2024,Finalizada
Tienda 01,Bogotá,123456333,Jorge Mateus,10005,3000-2,13/08/2023,Finalizada
Tienda 01,Bogotá,123456222,Maria Garcia,10009,70-1,12/11/2024,Finalizada
